model,image,ms,peak_vram_mib,fg_fraction,soft_edge_fraction,holes
birefnet-lite,brass-vessel-specular-03.jpg,260.0,851,0.222,0.004,0
birefnet-lite,pottery-blackware-darkfloor-03.jpg,253.0,851,0.266,0.0085,1
birefnet-lite,pottery-blackware-darkfloor-04.jpg,253.0,851,0.368,0.0109,1
birefnet-lite,pottery-darkclay-darkfloor-01.jpg,261.0,851,0.448,0.0074,0
birefnet-lite,pottery-darkclay-darkfloor-02.jpg,248.0,851,0.4,0.0054,0
birefnet-lite,pottery-darkclay-darkfloor-04.jpg,259.0,851,0.34,0.008,1
birefnet-lite,pottery-terracotta-darkfloor-01.jpg,235.0,851,0.145,0.0078,27
birefnet-lite,pottery-terracotta-darkfloor-04.jpg,249.0,851,0.321,0.0057,0
birefnet-lite,pottery-earthen-sharp-03.jpg,258.0,851,0.702,0.0071,0
birefnet-lite,pottery-earthen-sharp-04.jpg,261.0,851,0.235,0.0085,5
birefnet-lite,textile-tassel-fringe-01.jpg,258.0,851,0.273,0.0284,69
birefnet-lite,textile-tassel-fringe-02.jpg,254.0,851,0.443,0.0405,111
birefnet-lite,textile-tassel-fringe-03.jpg,257.0,851,0.372,0.0181,5
birefnet-lite,textile-tassel-fringe-04.jpg,263.0,851,0.418,0.0135,3
birefnet-lite,textile-shawl-fringe-03.jpg,260.0,851,0.093,0.0629,64
birefnet-lite,textile-dhurrie-patterned-01.jpg,248.0,851,0.929,0.0123,1
birefnet-lite,textile-blockprint-patterned-03.jpg,260.0,851,0.666,0.0091,0
birefnet-lite,textile-pallu-fringe-01.jpg,259.0,851,0.461,0.008,1
birefnet-lite,textile-pallu-fringe-02.jpg,257.0,851,0.307,0.0139,6
birefnet-lite,pottery-blackware-darkfloor-01.jpg,259.0,851,0.175,0.0116,0
birefnet-lite,pottery-earthen-sharp-02.jpg,252.0,851,0.297,0.0622,6
birefnet-lite,textile-blockprint-patterned-02.jpg,258.0,851,0.258,0.0056,0
birefnet-lite,pottery-potter-indoor-01.jpg,256.0,851,0.099,0.0041,0
inspyrenet,1816d85d-17c0-4b4c-b96f-6668e38dd868.jpeg,978.0,2924,0.186,0.0155,2
