image,model,fg_fraction,soft_edge_fraction,components,holes,consensus_iou
b4b717b2-c087-43a2-beb3-ba37ad5a9d8b.jpeg,isnet,0.0104,0.06387,10,6,0.0832
b4b717b2-c087-43a2-beb3-ba37ad5a9d8b.jpeg,u2net,0.0293,0.04961,2,0,0.1795
eab76f8f-20cf-416e-8c94-235e8762bb4d.jpeg,birefnet,0.3897,0.01576,1,0,0.9969
eab76f8f-20cf-416e-8c94-235e8762bb4d.jpeg,birefnet-lite,0.3919,0.01474,1,0,0.9947
eab76f8f-20cf-416e-8c94-235e8762bb4d.jpeg,inspyrenet,0.3903,0.01376,1,0,0.9975
eab76f8f-20cf-416e-8c94-235e8762bb4d.jpeg,isnet,0.3911,0.02046,1,0,0.9966
eab76f8f-20cf-416e-8c94-235e8762bb4d.jpeg,u2net,0.3898,0.01838,1,0,0.996
brass-bidri-specular-01.jpg,birefnet,0.5942,0.00669,1,0,0.9941
brass-bidri-specular-01.jpg,birefnet-lite,0.5906,0.00809,1,0,0.9961
brass-bidri-specular-01.jpg,inspyrenet,0.5914,0.01146,1,0,0.9969
brass-bidri-specular-01.jpg,isnet,0.5977,0.01807,1,0,0.9869
brass-bidri-specular-01.jpg,u2net,0.5946,0.0214,1,0,0.9916
brass-bidri-specular-02.jpg,birefnet,0.1824,0.0033,1,0,0.9961
brass-bidri-specular-02.jpg,birefnet-lite,0.1823,0.00348,1,0,0.9958
brass-bidri-specular-02.jpg,inspyrenet,0.182,0.00517,1,0,0.9967
brass-bidri-specular-02.jpg,isnet,0.1816,0.00701,1,0,0.9958
brass-bidri-specular-02.jpg,u2net,0.1814,0.00935,1,0,0.9929
brass-bidri-specular-04.jpg,birefnet,0.3722,0.00604,1,0,0.9983
brass-bidri-specular-04.jpg,birefnet-lite,0.3711,0.00694,1,0,0.9969
brass-bidri-specular-04.jpg,inspyrenet,0.3733,0.00905,1,0,0.9957
brass-bidri-specular-04.jpg,isnet,0.3719,0.01082,1,0,0.9982
brass-bidri-specular-04.jpg,u2net,0.3761,0.01881,1,0,0.9877
brass-diya-specular-01.jpg,birefnet,0.3738,0.01251,1,5,0.9971
brass-diya-specular-01.jpg,birefnet-lite,0.3731,0.01264,1,5,0.9969
brass-diya-specular-01.jpg,inspyrenet,0.374,0.0116,1,5,0.9964
brass-diya-specular-01.jpg,isnet,0.3738,0.01224,1,7,0.9965
brass-diya-specular-01.jpg,u2net,0.375,0.03148,1,6,0.9926
brass-diya-specular-02.jpg,birefnet,0.1521,0.0189,1,0,0.4695
brass-diya-specular-02.jpg,birefnet-lite,0.1496,0.00959,1,0,0.5784
brass-diya-specular-02.jpg,inspyrenet,0.0735,0.09058,9,3,0.4913
brass-diya-specular-02.jpg,isnet,0.087,0.05102,1,2,0.7858
brass-diya-specular-02.jpg,u2net,0.0978,0.05149,1,1,0.7569
brass-lamp-specular-01.jpg,birefnet,0.2471,0.00855,1,1,0.9959
brass-lamp-specular-01.jpg,birefnet-lite,0.2467,0.00818,1,1,0.9965
brass-lamp-specular-01.jpg,inspyrenet,0.2477,0.01126,1,1,0.9935
brass-lamp-specular-01.jpg,isnet,0.2481,0.01425,3,2,0.9907
brass-lamp-specular-01.jpg,u2net,0.2482,0.04429,3,1,0.9506
brass-vessel-specular-01.jpg,birefnet,0.286,0.00421,1,0,0.998
brass-vessel-specular-01.jpg,birefnet-lite,0.2862,0.00415,1,0,0.9974
brass-vessel-specular-01.jpg,inspyrenet,0.2863,0.00464,1,0,0.9971
brass-vessel-specular-01.jpg,isnet,0.2855,0.00705,1,0,0.9979
brass-vessel-specular-01.jpg,u2net,0.2853,0.01105,1,0,0.9939
brass-vessel-specular-03.jpg,birefnet,0.2217,0.00405,1,0,0.9981
brass-vessel-specular-03.jpg,birefnet-lite,0.2215,0.004,1,0,0.9984
brass-vessel-specular-03.jpg,inspyrenet,0.222,0.00474,1,0,0.997
brass-vessel-specular-03.jpg,isnet,0.2223,0.00689,2,0,0.9945
