image,mp,factor,crop_xy,band_full,band_crop,iou,band_ratio
textile-pallu-fringe-01.jpg,22.1,5.62,"512,1344",13.2,9.04,0.9836,1.46
brass-bidri-specular-04.jpg,15.7,4.33,"700,924",7.27,3.45,0.9976,2.11
brass-bidri-specular-02.jpg,12.0,3.91,"1787,2073",6.86,2.24,0.9905,3.06
textile-blockprint-patterned-03.jpg,10.0,3.56,"1,1711",6.67,2.56,0.6166,2.61
